Test,Threads,Time,Count,Verified
44,2,0.016838,166747,166747
45,2,0.016583,166747,166747
46,2,0.016274,166747,166747
47,2,0.016284,166747,166747
48,2,0.016937,166747,166747
49,2,0.017405,166747,166747
50,2,0.017076,166747,166747
51,2,0.016021,166747,166747
52,2,0.016382,166747,166747
53,2,0.016068,166747,166747
54,2,0.017654,166747,166747
55,2,0.017736,166747,166747
56,2,0.005774,166747,166747
57,2,0.008171,166747,166747
58,2,0.016717,166747,166747
59,2,0.017774,166747,166747
60,2,0.016780,166747,166747
61,2,0.017933,166747,166747
62,2,0.018074,166747,166747
63,2,0.016911,166747,166747
64,2,0.016536,166747,166747
65,2,0.017435,166747,166747
66,2,0.015149,166941,166941
67,2,0.016879,166941,166941
68,2,0.017642,166941,166941
69,2,0.017382,166941,166941
70,2,0.015931,166941,166941
71,2,0.016296,166941,166941
72,2,0.017047,166941,166941
73,2,0.016615,166941,166941
74,2,0.016905,166941,166941
75,2,0.015365,166941,166941
76,2,0.017370,166941,166941
77,2,0.015532,166941,166941
78,2,0.018084,166941,166941
79,2,0.017522,166941,166941
80,2,0.017269,166941,166941
81,2,0.016802,166941,166941
82,2,0.017482,166941,166941
83,2,0.017157,166941,166941
84,2,0.017413,166941,166941
85,2,0.016739,166941,166941
86,2,0.016189,166941,166941
87,2,0.016554,166941,166941
88,2,0.005809,166941,166941
89,2,0.017336,166941,166941
90,2,0.017159,166941,166941
91,2,0.015500,166941,166941
92,2,0.015953,166941,166941
93,2,0.015885,166941,166941
94,2,0.016112,166941,166941
95,2,0.015607,166941,166941
96,2,0.015757,166941,166941
97,2,0.017182,166941,166941
98,2,0.016871,166941,166941
99,2,0.016538,166941,166941
100,2,0.016846,166941,166941
1,4,0.037916,166941,166941
2,4,0.037753,166941,166941
3,4,0.045668,166941,166941
4,4,0.047022,166941,166941
5,4,0.041628,166941,166941
6,4,0.044160,166941,166941
7,4,0.038529,166941,166941
8,4,0.038555,166941,166941
9,4,0.015186,166941,166941
10,4,0.046829,166941,166941
11,4,0.046394,166941,166941
12,4,0.047391,166941,166941
13,4,0.047176,166941,166941
14,4,0.047955,166941,166941
15,4,0.047321,166336,166336
16,4,0.047201,166336,166336
17,4,0.047251,166336,166336
18,4,0.047194,166336,166336
19,4,0.046848,166336,166336
20,4,0.047316,166336,166336
21,4,0.046392,166336,166336
22,4,0.047887,166336,166336
23,4,0.047913,166336,166336
24,4,0.046901,166336,166336
25,4,0.046769,166336,166336
26,4,0.045784,166336,166336
27,4,0.043320,166336,166336
28,4,0.047259,166336,166336
29,4,0.048381,166336,166336
30,4,0.047525,166336,166336
31,4,0.046775,166336,166336
32,4,0.045675,166336,166336
33,4,0.046542,166336,166336
34,4,0.046210,166336,166336
35,4,0.036488,166336,166336
36,4,0.041798,166336,166336
37,4,0.036364,166336,166336
38,4,0.046587,166336,166336
39,4,0.047128,166336,166336
40,4,0.046777,166336,166336
41,4,0.045812,166336,166336
42,4,0.043855,166336,166336
43,4,0.046952,166336,166336
44,4,0.043778,166336,166336
45,4,0.047491,166336,166336
46,4,0.039415,166336,166336
47,4,0.044984,166336,166336
48,4,0.047392,166336,166336
49,4,0.039376,166336,166336
50,4,0.040261,166336,166336
51,4,0.047401,166336,166336
52,4,0.045937,166336,166336
53,4,0.047057,166336,166336
54,4,0.046951,166336,166336
55,4,0.045916,166405,166405
56,4,0.046472,166405,166405
57,4,0.040303,166405,166405
58,4,0.042063,166405,166405
59,4,0.044699,166405,166405
60,4,0.046657,166405,166405
61,4,0.044910,166405,166405
62,4,0.043380,166405,166405
63,4,0.046061,166405,166405
64,4,0.046174,166405,166405
65,4,0.040874,166405,166405
66,4,0.036904,166405,166405
67,4,0.045909,166405,166405
68,4,0.046142,166405,166405
69,4,0.034619,166405,166405
70,4,0.045336,166405,166405
71,4,0.046913,166405,166405
72,4,0.027618,166405,166405
73,4,0.043955,166405,166405
74,4,0.043605,166405,166405
75,4,0.045742,166405,166405
76,4,0.046022,166405,166405
77,4,0.046175,166405,166405
78,4,0.016379,166405,166405
79,4,0.046961,166405,166405
80,4,0.045586,166405,166405
81,4,0.036904,166405,166405
82,4,0.038766,166405,166405
83,4,0.041988,166405,166405
84,4,0.044842,166405,166405
85,4,0.046369,166405,166405
86,4,0.035834,166405,166405
87,4,0.045773,166405,166405
88,4,0.045837,166405,166405
89,4,0.044189,166405,166405
90,4,0.045659,166405,166405
91,4,0.046899,166405,166405
92,4,0.045566,166405,166405
93,4,0.046750,166405,166405
94,4,0.045522,166405,166405
95,4,0.047819,166623,166623
96,4,0.044559,166623,166623
97,4,0.046623,166623,166623
98,4,0.044225,166623,166623
99,4,0.043045,166623,166623
