Test,Threads,Time,Count,Verified
6,8,0.005883,165947,165947
7,8,0.005885,165947,165947
8,8,0.005960,165947,165947
9,8,0.005940,165947,165947
10,8,0.005978,165947,165947
11,8,0.005952,165947,165947
12,8,0.005940,165947,165947
13,8,0.005935,165947,165947
14,8,0.006065,165947,165947
15,8,0.005968,165947,165947
16,8,0.006143,165947,165947
17,8,0.006030,165947,165947
18,8,0.005931,165947,165947
19,8,0.005979,165947,165947
20,8,0.005911,165947,165947
21,8,0.005936,165947,165947
22,8,0.005939,165947,165947
23,8,0.005934,165947,165947
24,8,0.005943,165947,165947
25,8,0.005959,165947,165947
26,8,0.005982,165947,165947
27,8,0.006058,165947,165947
28,8,0.005949,165947,165947
29,8,0.005948,165947,165947
30,8,0.005936,165947,165947
31,8,0.005954,165947,165947
32,8,0.005916,165947,165947
33,8,0.006009,165947,165947
34,8,0.005942,165947,165947
35,8,0.005939,165947,165947
36,8,0.005436,165947,165947
37,8,0.005887,165947,165947
38,8,0.005743,165947,165947
39,8,0.005943,165947,165947
40,8,0.005955,165947,165947
41,8,0.005952,165947,165947
42,8,0.005940,165947,165947
43,8,0.005625,165947,165947
44,8,0.005926,165947,165947
45,8,0.005956,165947,165947
46,8,0.005944,165947,165947
47,8,0.005958,165947,165947
48,8,0.005956,166446,166446
49,8,0.005997,166446,166446
50,8,0.005995,166446,166446
51,8,0.005943,166446,166446
52,8,0.005964,166446,166446
53,8,0.005939,166446,166446
54,8,0.005922,166446,166446
55,8,0.005928,166446,166446
56,8,0.005988,166446,166446
57,8,0.005968,166446,166446
58,8,0.005984,166446,166446
59,8,0.005932,166446,166446
60,8,0.005961,166446,166446
61,8,0.005920,166446,166446
62,8,0.005919,166446,166446
63,8,0.005984,166446,166446
64,8,0.005951,166446,166446
65,8,0.005969,166446,166446
66,8,0.006003,166446,166446
67,8,0.006016,166446,166446
68,8,0.005967,166446,166446
69,8,0.005953,166446,166446
70,8,0.005895,166446,166446
71,8,0.005953,166446,166446
72,8,0.005960,166446,166446
73,8,0.005959,166446,166446
74,8,0.005887,166446,166446
75,8,0.005946,166446,166446
76,8,0.005958,166446,166446
77,8,0.005989,166446,166446
78,8,0.005957,166446,166446
79,8,0.006093,166446,166446
80,8,0.005961,166446,166446
81,8,0.005955,166446,166446
82,8,0.005959,166446,166446
83,8,0.005856,166446,166446
84,8,0.006122,166446,166446
85,8,0.005946,166446,166446
86,8,0.005926,166446,166446
87,8,0.005977,166446,166446
88,8,0.005960,166446,166446
89,8,0.005949,166446,166446
90,8,0.005939,166446,166446
91,8,0.006012,166446,166446
92,8,0.006020,166446,166446
93,8,0.005975,166446,166446
94,8,0.005937,166446,166446
95,8,0.005924,166446,166446
96,8,0.005953,166446,166446
97,8,0.005927,166446,166446
98,8,0.005936,166446,166446
99,8,0.005983,166446,166446
100,8,0.005999,166446,166446
1,16,0.006337,166446,166446
2,16,0.006306,166446,166446
3,16,0.006252,166446,166446
4,16,0.007207,166446,166446
5,16,0.006881,166446,166446
6,16,0.006242,166446,166446
7,16,0.006435,166446,166446
8,16,0.006349,166446,166446
9,16,0.006282,166446,166446
10,16,0.006242,166446,166446
11,16,0.006275,166446,166446
12,16,0.006242,166446,166446
13,16,0.006191,166446,166446
14,16,0.006224,166446,166446
15,16,0.006280,166446,166446
16,16,0.006270,166446,166446
17,16,0.006235,166446,166446
18,16,0.006320,166446,166446
19,16,0.006279,166446,166446
20,16,0.006313,166446,166446
21,16,0.006244,166446,166446
22,16,0.006302,166446,166446
23,16,0.006325,166446,166446
24,16,0.006268,166446,166446
25,16,0.006276,166446,166446
26,16,0.006282,166446,166446
27,16,0.006276,166446,166446
28,16,0.006276,166446,166446
29,16,0.006252,166446,166446
30,16,0.006261,166446,166446
31,16,0.006252,166446,166446
32,16,0.006253,166827,166827
33,16,0.006239,166827,166827
34,16,0.006096,166827,166827
35,16,0.006240,166827,166827
36,16,0.006241,166827,166827
